Gene,Annotation,Ordered locus name,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
rsmG,Ribosomal RNA small subunit methyltransferase G,b3740; JW3718,RSMG_ECOLI,P0A6U5,EG10376,207,rsmG; gidB,b3740, JW3718
rhaD,Rhamnulose-1-phosphate aldolase,b3902; JW3873,RHAD_ECOLI,P32169,EG11866,274,rhaD; rhuA,b3902, JW3873
glpK,Glycerol kinase,b3926; JW3897,GLPK_ECOLI,P0A6F3,EG10398,502,glpK,b3926, JW3897
zraP,Zinc resistance-associated protein,b4002; JW5546,ZRAP_ECOLI,P0AAA9,EG11918,141,zraP; yjaI; zra,b4002, JW5546
dusA,tRNA-dihydrouridine(20/20a) synthase,b4049; JW5950,DUSA_ECOLI,P32695,EG11932,345,dusA; yjbN,b4049, JW5950
tyrB,Aromatic-amino-acid aminotransferase,b4054; JW4014,TYRB_ECOLI,P04693,EG11040,397,tyrB,b4054, JW4014
mdtO,Multidrug resistance protein MdtO,b4081; JW4042,MDTO_ECOLI,P32715,EG11953,683,mdtO; yjcQ,b4081, JW4042
phnO,Aminoalkylphosphonate N-acetyltransferase,b4093; JW4054,PHNO_ECOLI,P16691,EG10724,144,phnO,b4093, JW4054
phnM,Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,b4095; JW4056,PHNM_ECOLI,P16689,EG10722,378,phnM,b4095, JW4056
epmB,"L-lysine 2,3-aminomutase",b4146; JW4106,EPMB_ECOLI,P39280,EG12473,342,epmB; yjeK,b4146, JW4106
ulaG,putative L-ascorbate-6-phosphate lactonase UlaG,b4192; JW5868,ULAG_ECOLI,P39300,EG12492,354,ulaG; yjfR,b4192, JW5868
rraB,Regulator of ribonuclease activity B,b4255; JW4212,RRAB_ECOLI,P0AF90,EG12453,138,rraB; yjgD,b4255, JW4212
yjhB,Putative metabolite transport protein YjhB,b4279; JW5768,YJHB_ECOLI,P39352,EG12544,405,yjhB,b4279, JW5768
yjjX,Non-canonical purine NTP phosphatase,b4394; JW5801,NCPP_ECOLI,P39411,EG12600,170,yjjX,b4394, JW5801
ftsK,DNA translocase FtsK,b0890; JW0873,FTSK_ECOLI,P46889,EG13226,1329,ftsK,b0890, JW0873
hemF,Oxygen-dependent coproporphyrinogen-III oxidase,b2436; JW2429,HEM6_ECOLI,P36553,EG12189,299,hemF,b2436, JW2429
dsbG,Thiol:disulfide interchange protein DsbG,b0604; JW0597,DSBG_ECOLI,P77202,EG13535,248,dsbG; ybdP,b0604, JW0597
pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,b0052; JW0051,PDXA_ECOLI,P19624,EG10691,329,pdxA,b0052, JW0051
djlA,Co-chaperone protein DjlA,b0055; JW0054,DJLA_ECOLI,P31680,EG11570,271,djlA; yabH,b0055, JW0054
gcd,Quinoprotein glucose dehydrogenase,b0124; JW0120,DHG_ECOLI,P15877,EG10369,796,gcd,b0124, JW0120
hpt,Hypoxanthine phosphoribosyltransferase,b0125; JW5009,HPRT_ECOLI,P0A9M2,EG20098,178,hpt,b0125, JW5009
dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,b0173; JW0168,DXR_ECOLI,P45568,EG12715,398,dxr; ispC; yaeM,b0173, JW0168
bamA,Outer membrane protein assembly factor BamA,b0177; JW0172,BAMA_ECOLI,P0A940,EG12676,810,bamA; yaeT; yzzN; yzzY,b0177, JW0172
rof,Protein rof,b0189; JW0184,ROF_ECOLI,P0AFW8,EG13221,84,rof; yaeO,b0189, JW0184
yaeQ,putative protein YaeQ,b0190; JW0186,YAEQ_ECOLI,P0AA97,EG13223,181,yaeQ,b0190, JW0186
arfB,Peptidyl-tRNA hydrolase ArfB,b0191; JW0187,ARFB_ECOLI,P40711,EG12354,140,arfB; yaeJ,b0191, JW0187
yafV,Omega-amidase YafV,b0219; JW5019,YAFV_ECOLI,Q47679,EG13334,256,yafV,b0219, JW5019
araJ,Putative transporter AraJ,b0396; JW0386,ARAJ_ECOLI,P23910,EG10060,394,araJ,b0396, JW0386
malZ,Maltodextrin glucosidase,b0403; JW0393,MALZ_ECOLI,P21517,EG10565,604,malZ,b0403, JW0393
acpH,Acyl carrier protein phosphodiesterase,b0404; JW0394,ACPH_ECOLI,P21515,EG11095,193,acpH; yajB,b0404, JW0394
tsx,Nucleoside-specific channel-forming protein Tsx,b0411; JW0401,TSX_ECOLI,P0A927,EG11035,294,tsx; nupA,b0411, JW0401
ybaA,putative protein YbaA,b0456; JW0445,YBAA_ECOLI,P0AAQ6,EG11099,117,ybaA,b0456, JW0445
fepG,Ferric enterobactin transport system permease protein FepG,b0589; JW0581,FEPG_ECOLI,P23877,EG10298,330,fepG,b0589, JW0581
ybdL,Methionine aminotransferase,b0600; JW0593,YBDL_ECOLI,P77806,EG13531,386,ybdL,b0600, JW0593
cydA,Cytochrome bd-I ubiquinol oxidase subunit 1,b0733; JW0722,CYDA_ECOLI,P0ABJ9,EG10173,522,cydA; cyd-1,b0733, JW0722
bioA,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,b0774; JW0757,BIOA_ECOLI,P12995,EG10117,429,bioA,b0774, JW0757
mcbA,putative protein McbA,b0806; JW5106,MCBA_ECOLI,P0AAX6,EG13318,86,mcbA; ybiM,b0806, JW5106
rlmF,Ribosomal RNA large subunit methyltransferase F,b0807; JW5107,RLMF_ECOLI,P75782,EG13319,308,rlmF; ybiN,b0807, JW5107
ybiR,Inner membrane protein YbiR,b0818; JW0802,YBIR_ECOLI,P75788,EG13323,372,ybiR,b0818, JW0802
ybiV,Sugar phosphatase YbiV,b0822; JW0806,SUPH_ECOLI,P75792,EG13327,271,ybiV; supH,b0822, JW0806
ybjI,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI,b0844; JW5113,YBJI_ECOLI,P75809,EG13678,271,ybjI,b0844, JW5113
grxA,Glutaredoxin 1,b0849; JW0833,GLRX1_ECOLI,P68688,EG10417,85,grxA; grx,b0849, JW0833
nfsA,Oxygen-insensitive NADPH nitroreductase,b0851; JW0835,NFSA_ECOLI,P17117,EG11261,240,nfsA; mda18; mdaA; ybjB,b0851, JW0835
rlmC,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,b0859; JW0843,RLMC_ECOLI,P75817,EG13427,375,rlmC; rumB; ybjF,b0859, JW0843
lysO,Lysine exporter LysO,b0874; JW0858,LYSO_ECOLI,P75826,EG13426,299,lysO; ybjE,b0874, JW0858
ycaC,putative hydrolase YcaC,b0897; JW0880,YCAC_ECOLI,P21367,EG11241,208,ycaC,b0897, JW0880
pflA,Pyruvate formate-lyase 1-activating enzyme,b0902; JW0885,PFLA_ECOLI,P0A9N4,EG10028,246,pflA; act,b0902, JW0885
ycaL,putative metalloprotease YcaL,b0909; JW0892,YCAL_ECOLI,P43674,EG13133,254,ycaL,b0909, JW0892
mukB,Chromosome partition protein MukB,b0924; JW0907,MUKB_ECOLI,P22523,EG10618,1486,mukB,b0924, JW0907
ssuD,Alkanesulfonate monooxygenase,b0935; JW0918,SSUD_ECOLI,P80645,EG13706,381,ssuD; ycbN,b0935, JW0918
mgsA,Methylglyoxal synthase,b0963; JW5129,MGSA_ECOLI,P0A731,EG12307,152,mgsA; yccG,b0963, JW5129
torT,Periplasmic protein TorT,b0994; JW0979,TORT_ECOLI,P38683,EG12616,342,torT; yccH,b0994, JW0979
rutF,FMN reductase (NADH) RutF,b1007; JW5138,RUTF_ECOLI,P75893,EG13854,164,rutF; ycdH,b1007, JW5138
rutD,Putative aminoacrylate hydrolase RutD,b1009; JW0994,RUTD_ECOLI,P75895,EG13856,266,rutD; ycdJ,b1009, JW0994
phoH,Protein PhoH,b1020; JW1005,PHOH_ECOLI,P0A9K1,EG11734,354,phoH; psiH,b1020, JW1005
rne,Ribonuclease E,b1084; JW1071,RNE_ECOLI,P21513,EG10859,1061,rne; ams; hmp1,b1084, JW1071
thiK,Thiamine kinase,b1106; JW1092,THIK_ECOLI,P75948,EG13432,274,thiK; ycfN,b1106, JW1092
comR,HTH-type transcriptional repressor ComR,b1111; JW5159,COMR_ECOLI,P75952,EG13435,210,comR; ycfQ,b1111, JW5159
pliG,Inhibitor of g-type lysozyme,b1178; JW1167,PLIG_ECOLI,P76002,EG13892,133,pliG; ycgK,b1178, JW1167
hemA,Glutamyl-tRNA reductase,b1210; JW1201,HEM1_ECOLI,P0A6X1,EG10427,418,hemA,b1210, JW1201
ychQ,Protein YchQ,b1213; JW1204,SIRB2_ECOLI,Q46755,EG14293,130,ychQ; sirB2,b1213, JW1204
narK,Nitrate/nitrite transporter NarK,b1223; JW1214,NARK_ECOLI,P10903,EG10642,463,narK,b1223, JW1214
oppB,Oligopeptide transport system permease protein OppB,b1244; JW1236,OPPB_ECOLI,P0AFH2,EG10675,306,oppB,b1244, JW1236
acnA,Aconitate hydratase A,b1276; JW1268,ACNA_ECOLI,P25516,EG11325,891,acnA; acn,b1276, JW1268
pyrF,Orotidine 5'-phosphate decarboxylase,b1281; JW1273,PYRF_ECOLI,P08244,EG10809,245,pyrF,b1281, JW1273
ogt,Methylated-DNA--protein-cysteine methyltransferase,b1335; JW1329,OGT_ECOLI,P0AFH0,EG10668,171,ogt,b1335, JW1329
malI,Maltose regulon regulatory protein MalI,b1620; JW1612,MALI_ECOLI,P18811,EG10557,342,malI,b1620, JW1612
malY,Protein MalY,b1622; JW1614,MALY_ECOLI,P23256,EG10564,390,malY,b1622, JW1614
tyrS,Tyrosine--tRNA ligase,b1637; JW1629,SYY_ECOLI,P0AGJ9,EG11043,424,tyrS,b1637, JW1629
nemR,HTH-type transcriptional repressor NemR,b1649; JW5874,NEMR_ECOLI,P67430,EG13947,199,nemR; ydhM,b1649, JW5874
btuE,Thioredoxin/glutathione peroxidase BtuE,b1710; JW1700,BTUE_ECOLI,P06610,EG10129,183,btuE,b1710, JW1700
astC,Succinylornithine transaminase,b1748; JW1737,ASTC_ECOLI,P77581,EG13999,406,astC; argM; cstC; ydjW,b1748, JW1737
pncA,Nicotinamidase,b1768; JW1757,PNCA_ECOLI,P21369,EG11135,213,pncA; nam; ydjB,b1768, JW1757
rlmA,23S rRNA (guanine(745)-N(1))-methyltransferase,b1822; JW1811,RLMA_ECOLI,P36999,EG12207,269,rlmA; rrmA; yebH,b1822, JW1811
yebF,Protein YebF,b1847; JW1836,YEBF_ECOLI,P33219,EG11807,118,yebF,b1847, JW1836
nudB,Dihydroneopterin triphosphate diphosphatase,b1865; JW1854,NUDB_ECOLI,P0AFC0,EG11138,150,nudB; ntpA,b1865, JW1854
yecM,Protein YecM,b1875; JW5309,YECM_ECOLI,P52007,EG13405,188,yecM; yecL,b1875, JW5309
uvrC,UvrABC system protein C,b1913; JW1898,UVRC_ECOLI,P0A8G0,EG11063,610,uvrC,b1913, JW1898
dacD,D-alanyl-D-alanine carboxypeptidase DacD,b2010; JW5329,DACD_ECOLI,P33013,EG11893,388,dacD; phsE; yeeC,b2010, JW5329
sbcB,Exodeoxyribonuclease I,b2011; JW1993,EX1_ECOLI,P04995,EG10926,475,sbcB; cpeA; xonA,b2011, JW1993
plaP,Low-affinity putrescine importer PlaP,b2014; JW5330,PLAP_ECOLI,P0AA47,EG11896,452,plaP; yeeF,b2014, JW5330
yehW,Glycine betaine uptake system permease protein YehW,b2128; JW2116,YEHW_ECOLI,P33359,EG12009,243,yehW,b2128, JW2116
yehY,Glycine betaine uptake system permease protein YehY,b2130; JW2118,YEHY_ECOLI,P33361,EG12011,385,yehY,b2130, JW2118
yeiL,Regulatory protein YeiL,b2163; JW2150,YEIL_ECOLI,P0A9E9,EG12031,219,yeiL; nsr,b2163, JW2150
ccmC,Heme exporter protein C,b2199; JW2187,CCMC_ECOLI,P0ABM1,EG12057,245,ccmC; yejT; yejU,b2199, JW2187
ais,Lipopolysaccharide core heptose(II)-phosphate phosphatase,b2252; JW2246,AIS_ECOLI,P45565,EG13155,200,ais; pmrG,b2252, JW2246
arnE,putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,b4544; JW2252,ARNE_ECOLI,Q47377,EG14344,111,arnE; pmrL; yfbW,b4544, JW2252
ackA,Acetate kinase,b2296; JW2293,ACKA_ECOLI,P0A6A3,EG10027,400,ackA; ack,b2296, JW2293
dedA,Protein DedA,b2317; JW2314,DEDA_ECOLI,P0ABP6,EG10216,219,dedA,b2317, JW2314
epmC,Elongation factor P hydroxylase,b2326; JW5381,EPMC_ECOLI,P76938,EG14116,182,epmC; yfcM,b2326, JW5381
fadJ,Fatty acid oxidation complex subunit alpha,b2341; JW2338,FADJ_ECOLI,P77399,EG14127,714,fadJ; yfcX,b2341, JW2338
eutL,Ethanolamine utilization protein EutL,b2439; JW2432,EUTL_ECOLI,P76541,EG14171,219,eutL; yffJ,b2439, JW2432
eutB,Ethanolamine ammonia-lyase heavy chain,b2441; JW2434,EUTB_ECOLI,P0AEJ6,EG50006,453,eutB,b2441, JW2434
eutM,Ethanolamine utilization protein EutM,b2457; JW2441,EUTM_ECOLI,P0ABF4,EG14187,97,eutM; cchA; yffZ,b2457, JW2441
eutD,Ethanolamine utilization protein EutD,b2458; JW2442,EUTD_ECOLI,P77218,EG14188,338,eutD; eutI; ypfA,b2458, JW2442
nudK,GDP-mannose pyrophosphatase NudK,b2467; JW2451,NUDK_ECOLI,P37128,EG12410,191,nudK; yffH,b2467, JW2451
acpS,Holo-[acyl-carrier-protein] synthase,b2563; JW2547,ACPS_ECOLI,P24224,EG10247,126,acpS; dpj,b2563, JW2547
yfiF,putative tRNA/rRNA methyltransferase YfiF,b2581; JW2565,YFIF_ECOLI,P0AGJ5,EG11786,345,yfiF,b2581, JW2565
trmD,tRNA (guanine-N(1)-)-methyltransferase,b2607; JW2588,TRMD_ECOLI,P0A873,EG11023,255,trmD,b2607, JW2588
gabD,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,b2661; JW2636,GABD_ECOLI,P25526,EG11329,482,gabD,b2661, JW2636
gabT,4-aminobutyrate aminotransferase GabT,b2662; JW2637,GABT_ECOLI,P22256,EG10361,426,gabT,b2662, JW2637
nrdI,Protein NrdI,b2674; JW2649,NRDI_ECOLI,P0A772,EG13287,136,nrdI; ygaO,b2674, JW2649
nrdE,Ribonucleoside-diphosphate reductase 2 subunit alpha,b2675; JW2650,RIR3_ECOLI,P39452,EG20257,714,nrdE,b2675, JW2650
pcm,Protein-L-isoaspartate O-methyltransferase,b2743; JW2713,PIMT_ECOLI,P0A7A5,EG10689,208,pcm,b2743, JW2713
ygcP,putative protein YgcP,b2768; JW2738,YGCP_ECOLI,Q46906,EG13123,191,ygcP,b2768, JW2738
relA,GTP pyrophosphokinase,b2784; JW2755,RELA_ECOLI,P0AG20,EG10835,744,relA,b2784, JW2755
truC,tRNA pseudouridine synthase C,b2791; JW2762,TRUC_ECOLI,P0AA41,EG13171,260,truC; yqcB,b2791, JW2762
yqcC,putative protein YqcC,b2792; JW2763,YQCC_ECOLI,Q46919,EG13172,109,yqcC,b2792, JW2763
queF,NADPH-dependent 7-cyano-7-deazaguanine reductase,b2794; JW2765,QUEF_ECOLI,Q46920,EG13173,282,queF; yqcD,b2794, JW2765
ygdG,Flap endonuclease Xni,b2798; JW5446,XNI_ECOLI,P38506,EG12372,251,ygdG; exo; xni,b2798, JW5446
amiC,N-acetylmuramoyl-L-alanine amidase AmiC,b2817; JW5449,AMIC_ECOLI,P63883,EG13086,417,amiC; ygdN,b2817, JW5449
ygfK,Putative oxidoreductase YgfK,b2878; JW5923,YGFK_ECOLI,Q46811,EG13061,1032,ygfK,b2878, JW5923
ubiI,2-octaprenylphenol hydroxylase,b2906; JW2874,UBII_ECOLI,P25535,EG11333,400,ubiI; visC,b2906, JW2874
loiP,Metalloprotease LoiP,b2936; JW2903,LOIP_ECOLI,P25894,EG11291,252,loiP; yggG,b2936, JW2903
nupG,Nucleoside permease NupG,b2964; JW2932,NUPG_ECOLI,P0AFF4,EG10664,418,nupG,b2964, JW2932
ydfK,putative membrane protein YdfK,b1544; JW1537,YDFK_ECOLI,P76154,EG13823,77,ydfK,b1544, JW1537
hybO,Hydrogenase-2 small chain,b2997; JW2965,MBHT_ECOLI,P69741,EG13006,372,hybO; yghV,b2997, JW2965
ftsP,Cell division protein FtsP,b3017; JW2985,FTSP_ECOLI,P26648,EG11376,470,ftsP; sufI,b3017, JW2985
yqiJ,Inner membrane protein YqiJ,b3050; JW3022,YQIJ_ECOLI,P76657,EG14231,209,yqiJ,b3050, JW3022
rpoD,RNA polymerase sigma factor RpoD,b3067; JW3039,RPOD_ECOLI,P00579,EG10896,613,rpoD; alt,b3067, JW3039
yqjH,NADPH-dependent ferric-chelate reductase,b3070; JW3041,YQJH_ECOLI,Q46871,EG12953,254,yqjH,b3070, JW3041
aer,Aerotaxis receptor,b3072; JW3043,AER_ECOLI,P50466,EG12955,506,aer; air; yqjJ,b3072, JW3043
yrbG,Inner membrane protein YrbG,b3196; JW3163,YRBG_ECOLI,P45394,EG12802,325,yrbG,b3196, JW3163
ptsO,Phosphocarrier protein NPr,b3206; JW3173,PTSO_ECOLI,P0A9N0,EG12147,90,ptsO; npr; rpoR; yhbK,b3206, JW3173
arcB,Aerobic respiration control sensor protein ArcB,b3210; JW5536,ARCB_ECOLI,P0AEC3,EG10062,778,arcB,b3210, JW5536
zapE,Cell division protein ZapE,b3232; JW3201,ZAPE_ECOLI,P64612,EG12819,375,zapE; yhcM,b3232, JW3201
yhdE,Maf-like protein YhdE,b3248; JW3217,YHDE_ECOLI,P25536,EG11298,197,yhdE,b3248, JW3217
fmt,Methionyl-tRNA formyltransferase,b3288; JW3249,FMT_ECOLI,P23882,EG11268,315,fmt; yhdD,b3288, JW3249
rplE,50S ribosomal protein L5,b3308; JW3270,RL5_ECOLI,P62399,EG10868,179,rplE,b3308, JW3270
tusC,Protein TusC,b3344; JW3306,TUSC_ECOLI,P45531,EG12897,119,tusC; yheM,b3344, JW3306
dctR,HTH-type transcriptional regulator DctR,b3507; JW3475,DCTR_ECOLI,P37195,EG11889,176,dctR; yhiF,b3507, JW3475
gadE,Transcriptional regulator GadE,b3512; JW3480,GADE_ECOLI,P63204,EG11544,175,gadE; yhiE; yhiT,b3512, JW3480
gadW,HTH-type transcriptional regulator GadW,b3515; JW3483,GADW_ECOLI,P63201,EG12242,242,gadW; yhiW,b3515, JW3483
yibL,putative protein YibL,b3602; JW3577,YIBL_ECOLI,P0ADK8,EG11964,120,yibL,b3602, JW3577
nepI,Purine ribonucleoside efflux pump NepI,b3662; JW5938,NEPI_ECOLI,P0ADL1,EG11689,396,nepI; yicM,b3662, JW5938
chrR,Quinone reductase,b3713; JW3691,CHRR_ECOLI,P0AGE6,EG11723,188,chrR; yieF,b3713, JW3691
atpA,ATP synthase subunit alpha,b3734; JW3712,ATPA_ECOLI,P0ABB0,EG10098,513,atpA; papA; uncA,b3734, JW3712
gppA,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",b3779; JW5603,GPPA_ECOLI,P25552,EG10413,494,gppA; gpp,b3779, JW5603
wecF,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase,b4481; JW5596,WECF_ECOLI,P56258,EG14320,359,wecF; rffT; yifM,b4481, JW5596
rhtB,Homoserine/homoserine lactone efflux protein,b3824; JW5585,RHTB_ECOLI,P0AG34,EG11469,206,rhtB; yigK,b3824, JW5585
yihG,putative acyltransferase YihG,b3862; JW3834,YIHG_ECOLI,P32129,EG11833,310,yihG,b3862, JW3834
polA,DNA polymerase I,b3863; JW3835,DPO1_ECOLI,P00582,EG10746,928,polA; resA,b3863, JW3835
cdh,CDP-diacylglycerol pyrophosphatase,b3918; JW3889,CDH_ECOLI,P06282,EG10138,251,cdh,b3918, JW3889
glpF,Glycerol uptake facilitator protein,b3927; JW3898,GLPF_ECOLI,P0AER0,EG10396,281,glpF,b3927, JW3898
cytR,HTH-type transcriptional repressor CytR,b3934; JW3905,CYTR_ECOLI,P0ACN7,EG10200,341,cytR,b3934, JW3905
murB,UDP-N-acetylenolpyruvoylglucosamine reductase,b3972; JW3940,MURB_ECOLI,P08373,EG11205,342,murB; yijB,b3972, JW3940
thiH,2-iminoacetate synthase,b3990; JW3953,THIH_ECOLI,P30140,EG11590,377,thiH,b3990, JW3953
thiG,Thiazole synthase,b3991; JW5549,THIG_ECOLI,P30139,EG11589,256,thiG,b3991, JW5549
zraR,Transcriptional regulatory protein ZraR,b4004; JW3968,ZRAR_ECOLI,P14375,EG10482,441,zraR; hydG,b4004, JW3968
lamB,Maltoporin,b4036; JW3996,LAMB_ECOLI,P02943,EG10528,446,lamB; malB,b4036, JW3996
nrfB,Cytochrome c-type protein NrfB,b4071; JW4032,NRFB_ECOLI,P0ABL1,EG11945,188,nrfB; yjcI,b4071, JW4032
phnL,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL,b4096; JW4057,PHNL_ECOLI,P16679,EG10721,226,phnL,b4096, JW4057
phnJ,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase,b4098; JW4059,PHNJ_ECOLI,P16688,EG10719,281,phnJ,b4098, JW4059
phnE,Phosphate-import permease protein PhnE,b4103; JW4065,PHNE2_ECOLI,P0DP70,EG11283,122,phnE; phnE2,b4103, JW4065
dcuB,Anaerobic C4-dicarboxylate transporter DcuB,b4123; JW4084,DCUB_ECOLI,P0ABN9,EG10006,446,dcuB; genF,b4123, JW4084
dcuS,Sensor histidine kinase DcuS,b4125; JW4086,DCUS_ECOLI,P0AEC8,EG12465,543,dcuS; yjdH,b4125, JW4086
yjeM,Inner membrane transporter YjeM,b4156; JW5739,YJEM_ECOLI,P39282,EG12475,500,yjeM,b4156, JW5739
ulaB,Ascorbate-specific PTS system EIIB component,b4194; JW4152,ULAB_ECOLI,P69822,EG12494,101,ulaB; sgaB; yjfT,b4194, JW4152
ulaF,L-ribulose-5-phosphate 4-epimerase UlaF,b4198; JW4156,ULAF_ECOLI,P39306,EG12498,228,ulaF; sgaE; yjfX,b4198, JW4156
cpdB,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase",b4213; JW4171,CPDB_ECOLI,P08331,EG10160,647,cpdB,b4213, JW4171
dnaT,Primosomal protein 1,b4362; JW4326,DNAT_ECOLI,P0A8J2,EG10244,179,dnaT,b4362, JW4326
yjjQ,Putative transcription factor YjjQ,b4365; JW4329,YJJQ_ECOLI,P0ADD7,EG12593,241,yjjQ,b4365, JW4329
deoA,Thymidine phosphorylase,b4382; JW4345,TYPH_ECOLI,P07650,EG10219,440,deoA; tpp; ttg,b4382, JW4345
creB,Transcriptional regulatory protein CreB,b4398; JW4361,CREB_ECOLI,P08368,EG11218,229,creB; yjjE,b4398, JW4361
chaC,Glutathione-specific gamma-glutamylcyclotransferase,b1218; JW1209,CHAC_ECOLI,P39163,EG12403,231,chaC,b1218, JW1209
dusC,tRNA-dihydrouridine(16) synthase,b2140; JW2128,DUSC_ECOLI,P33371,EG12022,315,dusC; yohI,b2140, JW2128
mfd,Transcription-repair-coupling factor,b1114; JW1100,MFD_ECOLI,P30958,EG11619,1148,mfd,b1114, JW1100
rbn,Ribonuclease BN,b2268; JW2263,RBN_ECOLI,P0A8V0,EG14260,305,rbn; elaC; rnz,b2268, JW2263
hemX,Protein HemX,b3803; JW3775,HEMX_ECOLI,P09127,EG10433,393,hemX,b3803, JW3775
lnt,Apolipoprotein N-acyltransferase,b0657; JW0654,LNT_ECOLI,P23930,EG10168,512,lnt; cutE,b0657, JW0654
fepA,Ferrienterobactin receptor,b0584; JW5086,FEPA_ECOLI,P05825,EG10293,746,fepA; fep; feuB,b0584, JW5086
erfK,"putative L,D-transpeptidase ErfK/SrfK",b1990; JW1968,ERFK_ECOLI,P39176,EG12682,310,erfK; yeeG; yzzT,b1990, JW1968
ygeW,Putative carbamoyltransferase YgeW,b2870; JW5463,YGEW_ECOLI,Q46803,EG13053,396,ygeW,b2870, JW5463
wzyE,putative ECA polymerase,b3793; JW3769,WZYE_ECOLI,P27835,EG11457,450,wzyE; wzy,b3793, JW3769
ribF,Riboflavin biosynthesis protein RibF,b0025; JW0023,RIBF_ECOLI,P0AG40,EG11079,313,ribF; yaaC,b0025, JW0023
ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,b0029; JW0027,ISPH_ECOLI,P62623,EG11081,316,ispH; lytB; yaaE,b0029, JW0027
folA,Dihydrofolate reductase,b0048; JW0047,DYR_ECOLI,P0ABQ4,EG10326,159,folA; tmrA,b0048, JW0047
lptD,LPS-assembly protein LptD,b0054; JW0053,LPTD_ECOLI,P31554,EG11569,784,lptD; imp; ostA; yabG,b0054, JW0053
rapA,RNA polymerase-associated protein RapA,b0059; JW0058,RAPA_ECOLI,P60240,EG11083,968,rapA; hepA; yabA,b0059, JW0058
cra,Catabolite repressor/activator,b0080; JW0078,CRA_ECOLI,P0ACP1,EG10338,334,cra; fruC; fruR; shl,b0080, JW0078
secM,Secretion monitor,b0097; JW5007,SECM_ECOLI,P62395,EG11087,170,secM; srrA; yacA,b0097, JW5007
ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",b0110; JW0106,AMPD_ECOLI,P13016,EG10041,183,ampD,b0110, JW0106
ampE,Protein AmpE,b0111; JW0107,AMPE_ECOLI,P0AE14,EG10042,284,ampE,b0111, JW0107
panC,Pantothenate synthetase,b0133; JW0129,PANC_ECOLI,P31663,EG11746,283,panC,b0133, JW0129
thpR,"RNA 2',3'-cyclic phosphodiesterase",b0147; JW5011,THPR_ECOLI,P37025,EG12330,176,thpR; ligT; yadP,b0147, JW5011
clcA,H(+)/Cl(-) exchange transporter ClcA,b0155; JW5012,CLCA_ECOLI,P37019,EG12331,473,clcA; eriC; yadQ,b0155, JW5012
btuF,Vitamin B12-binding protein,b0158; JW0154,BTUF_ECOLI,P37028,EG12334,266,btuF; yadT,b0158, JW0154
fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,b0180; JW0175,FABZ_ECOLI,P0A6Q6,EG11284,151,fabZ; sefA; yaeA,b0180, JW0175
rnhB,Ribonuclease HII,b0183; JW0178,RNH2_ECOLI,P10442,EG10861,198,rnhB,b0183, JW0178
dkgB,"2,5-diketo-D-gluconic acid reductase B",b0207; JW0197,DKGB_ECOLI,P30863,EG11648,267,dkgB; yafB,b0207, JW0197
ivy,Inhibitor of vertebrate lysozyme,b0220; JW0210,IVY_ECOLI,P0AD59,EG13547,157,ivy; ykfE,b0220, JW0210
fadE,Acyl-coenzyme A dehydrogenase,b0221; JW5020,FADE_ECOLI,Q47146,EG13145,814,fadE; yafH,b0221, JW5020
pepD,Cytosol non-specific dipeptidase,b0237; JW0227,PEPD_ECOLI,P15288,EG10695,485,pepD; pepH,b0237, JW0227
rdgC,Recombination-associated protein RdgC,b0393; JW0384,RDGC_ECOLI,P36767,EG12158,303,rdgC; yaiD,b0393, JW0384
cyoD,Cytochrome bo(3) ubiquinol oxidase subunit 4,b0429; JW0419,CYOD_ECOLI,P0ABJ6,EG10181,109,cyoD,b0429, JW0419
clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,b0438; JW0428,CLPX_ECOLI,P0A6H1,EG10159,424,clpX; lopC,b0438, JW0428
fadM,Long-chain acyl-CoA thioesterase FadM,b0443; JW0433,FADM_ECOLI,P77712,EG13251,132,fadM; tesC; ybaW,b0443, JW0433
ybaY,putative lipoprotein YbaY,b0453; JW0443,YBAY_ECOLI,P77717,EG13253,190,ybaY,b0453, JW0443
acrA,Multidrug efflux pump subunit AcrA,b0463; JW0452,ACRA_ECOLI,P0AE06,EG11703,397,acrA; lir; mtcA,b0463, JW0452
